CPTCode,ShortDescription
63101,Remove vert body dcmprn thrc
63102,Remove vert body dcmprn lmbr
63103,Remove vertebral body add-on
63170,Incise spinal cord tract(s)
63172,Drainage of spinal cyst
63173,Drainage of spinal cyst
63180,Revise spinal cord ligaments
63182,Revise spinal cord ligaments
63185,Incise spine nrv half segmnt
63190,Incise spine nrv > 2 segmnts
63191,Incise spine accessory nerve
63194,Incise spine & cord cervical
63195,Incise spine & cord thoracic
63196,Incise spine&cord 2 trx crvl
63197,Incise spine&cord 2 trx thrc
63198,Incise spin&cord 2 stgs crvl
63199,Incise spin&cord 2 stgs thrc
63200,Release spinal cord lumbar
63250,Revise spinal cord vsls crvl
63251,Revise spinal cord vsls thrc
63252,Revise spine cord vsl thrlmb
63265,Excise intraspinl lesion crv
63266,Excise intrspinl lesion thrc
63267,Excise intrspinl lesion lmbr
63268,Excise intrspinl lesion scrl
63270,Excise intrspinl lesion crvl
63271,Excise intrspinl lesion thrc
63272,Excise intrspinl lesion lmbr
63273,Excise intrspinl lesion scrl
63275,Bx/exc xdrl spine lesn crvl
63276,Bx/exc xdrl spine lesn thrc
63277,Bx/exc xdrl spine lesn lmbr
63278,Bx/exc xdrl spine lesn scrl
63280,Bx/exc idrl spine lesn crvl
63281,Bx/exc idrl spine lesn thrc
63282,Bx/exc idrl spine lesn lmbr
63283,Bx/exc idrl spine lesn scrl
63285,Bx/exc idrl imed lesn cervl
63286,Bx/exc idrl imed lesn thrc
63287,Bx/exc idrl imed lesn thrlmb
63290,Bx/exc xdrl/idrl lsn any lvl
63295,Repair of laminectomy defect
63300,Remove vert xdrl body crvcl
63301,Remove vert dxrl body thrc
63302,Remove vert xdrl body thrlmb
63303,Remov vert xdrl bdy lmbr/sac
63304,Remove vert idrl body crvcl
63305,Remove vert idrl body thrc
63306,Remov vert idrl bdy thrclmbr
63307,Remov vert idrl bdy lmbr/sac
63308,Remove vertebral body add-on
63600,Remove spinal cord lesion
63610,Stimulation of spinal cord
63615,Remove lesion of spinal cord
63620,"SRS, spinal lesion"
63621,"SRS, spinal lesion, addl"
63650,Implant neuroelectrodes
63655,Implant neuroelectrodes
63661,Remove spine eltrd perq aray
63662,Remove spine eltrd plate
63663,Revise spine eltrd perq aray
63664,Revise spine eltrd plate
63685,Insrt/redo spine n generator
63688,Revise/remove neuroreceiver
63700,Repair of spinal herniation
63702,Repair of spinal herniation
63704,Repair of spinal herniation
63706,Repair of spinal herniation
63707,Repair spinal fluid leakage
63709,Repair spinal fluid leakage
63710,Graft repair of spine defect
63740,Install spinal shunt
63741,Install spinal shunt
63744,Revision of spinal shunt
63746,Removal of spinal shunt
64400,"N block inj, trigeminal"
64402,"N block inj, facial"
64405,"N block inj, occipital"
64408,"N block inj, vagus"
64410,"N block inj, phrenic"
64413,"N block inj, cervical plexus"
64415,"N block inj, brachial plexus"
64416,"N block cont infuse, b plex"
64417,"N block inj, axillary"
64418,"N block inj, suprascapular"
64420,"N block inj, intercost, sng"
64421,"N block inj, intercost, mlt"
64425,"N block inj, ilio-ing/hypogi"
64430,"N block inj, pudendal"
64435,"N block inj, paracervical"
64445,"N block inj, sciatic, sng"
64446,"N blk inj, sciatic, cont inf"
64447,"N block inj fem, single"
64448,"N block inj fem, cont inf"
64449,"N block inj, lumbar plexus"
64450,"N block, other peripheral"
64455,"N block inj, plantar digit"
64479,Inj foramen epidural c/t
64480,Inj foramen epidural add-on
64483,Inj foramen epidural l/s
64484,Inj foramen epidural add-on
64486,Tap block unil by injection
64487,Tap block uni by infusion
64488,Tap block bi injection
64489,Tap block bi by infusion
64490,Inj paravert f jnt c/t 1 lev
64491,Inj paravert f jnt c/t 2 lev
64492,Inj paravert f jnt c/t 3 lev
64493,Inj paravert f jnt l/s 1 lev
64494,Inj paravert f jnt l/s 2 lev
64495,Inj paravert f jnt l/s 3 lev
64505,"N block, spenopalatine gangl"
64508,"N block, carotid sinus s/p"
64510,"N block, stellate ganglion"
64517,"N block inj, hypogas plxs"
64520,"N block, lumbar/thoracic"
64530,N block inj celiac plexus
64550,Apply neurostimulator
64553,Implant neuroelectrodes
64555,Implant neuroelectrodes
64561,Implant neuroelectrodes
64565,Implant neuroelectrodes
64566,Neuroeltrd stim post tibial
64568,Inc for vagus n elect impl
64569,Revise/repl vagus n eltrd
64570,Remove vagus n eltrd
64575,Implant neuroelectrodes
64580,Implant neuroelectrodes
64581,Implant neuroelectrodes
64585,Revise/remove neuroelectrode
64590,Insrt/redo pn/gastr stimul
64595,Revise/rmv pn/gastr stimul
64600,Injection treatment of nerve
64605,Injection treatment of nerve
64610,Injection treatment of nerve
64611,Chemodenerv saliv glands
64612,"Destroy nerve, face muscle"
64615,Chemodenerv musc migraine
64616,Chemodenerv musc neck dyston
64617,Chemodener muscle larynx emg
64620,Injection treatment of nerve
64630,Injection treatment of nerve
64632,"N block inj, common digit"
64633,Destroy cerv/thor facet jnt
64634,Destroy c/th facet jnt addl
64635,Destroy lumb/sac facet jnt
64636,Destroy l/s facet jnt addl
64640,Injection treatment of nerve
64642,Chemodenerv 1 extremity 1-4
64643,Chemodenerv 1 extrem 1-4 ea
64644,Chemodenerv 1 extrem 5/> mus
64645,Chemodenerv 1 extrem 5/> ea
64646,Chemodenerv trunk musc 1-5
64647,Chemodenerv trunk musc 6/>
64650,Chemodenerv eccrine glands
64653,Chemodenerv eccrine glands
64680,Injection treatment of nerve
64681,Injection treatment of nerve
64702,Revise finger/toe nerve
64704,Revise hand/foot nerve
64708,Revise arm/leg nerve
64712,Revision of sciatic nerve
64713,Revision of arm nerve(s)
64714,Revise low back nerve(s)
64716,Revision of cranial nerve
64718,Revise ulnar nerve at elbow
64719,Revise ulnar nerve at wrist
64721,Carpal tunnel surgery
64722,Relieve pressure on nerve(s)
64726,Release foot/toe nerve
64727,Internal nerve revision
64732,Incision of brow nerve
64734,Incision of cheek nerve
64736,Incision of chin nerve
64738,Incision of jaw nerve
64740,Incision of tongue nerve
64742,Incision of facial nerve
64744,"Incise nerve, back of head"
64746,Incise diaphragm nerve
64755,Incision of stomach nerves
64760,Incision of vagus nerve
64763,Incise hip/thigh nerve
64766,Incise hip/thigh nerve
64771,Sever cranial nerve
64772,Incision of spinal nerve
64774,Remove skin nerve lesion
64776,Remove digit nerve lesion
64778,Digit nerve surgery add-on
64782,Remove limb nerve lesion
64783,Limb nerve surgery add-on
64784,Remove nerve lesion
64786,Remove sciatic nerve lesion
64787,Implant nerve end
64788,Remove skin nerve lesion
64790,Removal of nerve lesion
64792,Removal of nerve lesion
64795,Biopsy of nerve
64802,Sympathectomy cervical
64804,Remove sympathetic nerves
64809,Remove sympathetic nerves
64818,Remove sympathetic nerves
64820,Sympathectomy digital artery
64821,Remove sympathetic nerves
64822,Remove sympathetic nerves
64823,Sympathectomy supfc palmar
64831,Repair of digit nerve
64832,Repair nerve add-on
64834,Repair of hand or foot nerve
64835,Repair of hand or foot nerve
64836,Repair of hand or foot nerve
64837,Repair nerve add-on
64840,Repair of leg nerve
64856,Repair/transpose nerve
64857,Repair arm/leg nerve
64858,Repair sciatic nerve
64859,Nerve surgery
64861,Repair of arm nerves
64862,Repair of low back nerves
64864,Repair of facial nerve
64865,Repair of facial nerve
64866,Fusion of facial/other nerve
64868,Fusion of facial/other nerve
64872,Subsequent repair of nerve
64874,Repair & revise nerve add-on
64876,Repair nerve/shorten bone
64885,Nerve graft head/neck <=4 cm
64886,Nerve graft head/neck > 4 cm
64890,Nerve graft hand/foot <= 4cm
64891,Nerve graft hand/foot > 4 cm
64892,Nerve graft arm/leg <= 4 cm
64893,Nerve graft arm/leg > 4 cm
64895,Nerve graft hand/foot <= 4cm
64896,Nerve graft hand/foot > 4 cm
64897,Nerve graft arm/leg <= 4 cm
64898,Nerve graft arm/leg > 4 cm
64901,Nerve graft add-on
64902,Nerve graft add-on
64905,Nerve pedicle transfer
64907,Nerve pedicle transfer
64910,Nerve repair w/allograft
64911,Neurorraphy w/vein autograft
64999,Nervous system surgery
65091,Revise eye
65093,Revise eye with implant
65101,Removal of eye
65103,Remove eye/insert implant
65105,Remove eye/attach implant
65110,Removal of eye
65112,Remove eye/revise socket
65114,Remove eye/revise socket
65125,Revise ocular implant
65130,Insert ocular implant
65135,Insert ocular implant
65140,Attach ocular implant
65150,Revise ocular implant
65155,Reinsert ocular implant
65175,Removal of ocular implant
65205,Remove foreign body from eye
65210,Remove foreign body from eye
65220,Remove foreign body from eye
65222,Remove foreign body from eye
65235,Remove foreign body from eye
65260,Remove foreign body from eye
65265,Remove foreign body from eye
65270,Repair of eye wound
65272,Repair of eye wound
65273,Repair of eye wound
65275,Repair of eye wound
65280,Repair of eye wound
65285,Repair of eye wound
65286,Repair of eye wound
65290,Repair of eye socket wound
65400,Removal of eye lesion
65410,Biopsy of cornea
65420,Removal of eye lesion
65426,Removal of eye lesion
65430,Corneal smear
65435,Curette/treat cornea
65436,Curette/treat cornea
65450,Treatment of corneal lesion
65600,Revision of cornea
65710,Corneal transplant
65730,Corneal transplant
65750,Corneal transplant
65755,Corneal transplant
65756,"Corneal trnspl, endothelial"
65757,Prep corneal endo allograft
65760,Revision of cornea
65765,Revision of cornea
65767,Corneal tissue transplant
65770,Revise cornea with implant
65771,Radial keratotomy
65772,Correction of astigmatism
65775,Correction of astigmatism
65778,Cover eye w/membrane
65779,Cover eye w/membrane suture
65780,Ocular reconst transplant
65781,"Ocular reconst, transplant"
65782,"Ocular reconst, transplant"
65800,Drainage of eye
65810,Drainage of eye
65815,Drainage of eye
65820,Relieve inner eye pressure
65850,Incision of eye
65860,Incise inner eye adhesions
65865,Incise inner eye adhesions
65870,Incise inner eye adhesions
65875,Incise inner eye adhesions
65880,Incise inner eye adhesions
65900,Remove eye lesion
65920,Remove implant of eye
65930,Remove blood clot from eye
66020,Injection treatment of eye
66030,Injection treatment of eye
66130,Remove eye lesion
66150,Glaucoma surgery
66155,Glaucoma surgery
66160,Glaucoma surgery
66170,Glaucoma surgery
66172,Incision of eye
66174,Translum dil eye canal
66175,Trnslum dil eye canal w/stnt
66179,Aqueous shunt eye w/o graft
66180,Implant eye shunt
66183,Insert ant drainage device
66184,Revision of aqueous shunt
66185,Revise aqueous shunt eye
66220,Repair eye lesion
66225,Repair/graft eye lesion
66250,Follow-up surgery of eye
66500,Incision of iris
66505,Incision of iris
66600,Remove iris and lesion
66605,Removal of iris
66625,Removal of iris
66630,Removal of iris
66635,Removal of iris
66680,Repair iris & ciliary body
66682,Repair iris & ciliary body
66700,"Destruction, ciliary body"
66710,Ciliary transscleral therapy
66711,Ciliary endoscopic ablation
66720,"Destruction, ciliary body"
66761,Revision of iris
66762,Revision of iris
66770,Removal of inner eye lesion
66820,"Incision, secondary cataract"
66821,After cataract laser surgery
66825,Reposition intraocular lens
66830,Removal of lens lesion
66840,Removal of lens material
66850,Removal of lens material
66852,Removal of lens material
66920,Extraction of lens
66930,Extraction of lens
66940,Extraction of lens
66982,"Cataract surgery, complex"
66983,"Cataract surg w/IOL, 1 stage"
66984,"Cataract surg w/IOL, 1 stage"
66985,Insert lens prosthesis
66986,Exchange lens prosthesis
66990,Ophthalmic endoscope add-on
66999,Eye surgery procedure
67005,Partial removal of eye fluid
67010,Partial removal of eye fluid
67015,Release of eye fluid
67025,Replace eye fluid
67027,Implant eye drug system
67028,Injection eye drug
67030,Incise inner eye strands
67031,"Laser surgery, eye strands"
67036,Removal of inner eye fluid
67039,Laser treatment of retina
67040,Laser treatment of retina
67041,Vit for macular pucker
67042,Vit for macular hole
67043,Vit for membrane dissect
67110,Repair detached retina
67113,Repair retinal detach cplx
67115,Release encircling material
67120,Remove eye implant material
67121,Remove eye implant material
67141,Treatment of retina
67145,Treatment of retina
67208,Treatment of retinal lesion
67210,Treatment of retinal lesion
67218,Treatment of retinal lesion
67220,Treatment of choroid lesion
67221,Ocular photodynamic ther
67225,Eye photodynamic ther add-on
67250,Reinforce eye wall
67255,Reinforce/graft eye wall
67299,Eye surgery procedure
67311,Revise eye muscle
67312,Revise 2 eye muscles
67314,Revise eye muscle
67316,Revise 2 eye muscles
67318,Revise eye muscle(s)
67320,Revise eye muscle(s) add-on
67331,Eye surgery follow-up add-on
67332,Rerevise eye muscles add-on
67334,Revise eye muscle w/suture
67335,Eye suture during surgery
67340,Revise eye muscle add-on
67343,Release eye tissue
67345,Destroy nerve of eye muscle
67346,"Biopsy, eye muscle"
67399,Unlisted px extraocular musc
67400,Explore/biopsy eye socket
67405,Explore/drain eye socket
67412,Explore/treat eye socket
67413,Explore/treat eye socket
67414,Explr/decompress eye socket
67415,"Aspiration, orbital contents"
67420,Explore/treat eye socket
67430,Explore/treat eye socket
67440,Explore/drain eye socket
67445,Explr/decompress eye socket
67450,Explore/biopsy eye socket
67500,Inject/treat eye socket
67505,Inject/treat eye socket
67515,Inject/treat eye socket
67550,Insert eye socket implant
67560,Revise eye socket implant
67570,Decompress optic nerve
67599,Orbit surgery procedure
67700,Drainage of eyelid abscess
67710,Incision of eyelid
67715,Incision of eyelid fold
67800,Remove eyelid lesion
67801,Remove eyelid lesions
67805,Remove eyelid lesions
67808,Remove eyelid lesion(s)
67810,Biopsy eyelid & lid margin
67820,Revise eyelashes
67825,Revise eyelashes
67830,Revise eyelashes
67835,Revise eyelashes
67840,Remove eyelid lesion
67850,Treat eyelid lesion
67875,Closure of eyelid by suture
67880,Revision of eyelid
67882,Revision of eyelid
67900,Repair brow defect
67901,Repair eyelid defect
67902,Repair eyelid defect
67903,Repair eyelid defect
67904,Repair eyelid defect
67906,Repair eyelid defect
67908,Repair eyelid defect
67909,Revise eyelid defect
67911,Revise eyelid defect
67912,Correction eyelid w/implant
67914,Repair eyelid defect
67915,Repair eyelid defect
67916,Repair eyelid defect
67917,Repair eyelid defect
67921,Repair eyelid defect
67922,Repair eyelid defect
67923,Repair eyelid defect
67924,Repair eyelid defect
67930,Repair eyelid wound
67935,Repair eyelid wound
