HCPCSCode,ShortDescription
J3121,Inj testostero enanthate 1mg
J3130,Testosterone enanthate inj
J3140,Testosterone suspension inj
J3145,Testosterone undecanoate 1mg
J3150,Testosterone propionate inj
J3240,Thyrotropin injection
J3243,Tigecycline injection
J3260,Tobramycin sulfate injection
J3262,Tocilizumab injection
J3265,Injection torsemide 10 mg/ml
J3280,Thiethylperazine maleate inj
J3285,Treprostinil injection
J3300,Triamcinolone A inj PRS-free
J3301,Triamcinolone acet inj NOS
J3305,Inj trimetrexate glucuronate
J3310,Perphenazine injection
J3315,Triptorelin pamoate
J3320,Spectinomycn di-HCl inj
J3350,Urea injection
J3360,Diazepam injection
J3385,Velaglucerase alfa
J3396,Verteporfin injection
J3465,"Injection, voriconazole"
J3470,Hyaluronidase injection
J3475,Inj magnesium sulfate
J3485,Zidovudine
J3486,Ziprasidone mesylate
J3489,Zoledronic acid 1mg
J3490,Drugs unclassified injection
J3520,Edetate disodium per 150 mg
J3530,Nasal vaccine inhalation
J3535,Metered dose inhaler drug
J3590,Unclassified biologics
J7040,Normal saline solution infus
J7042,5% dextrose/normal saline
J7050,Normal saline solution infus
J7060,5% dextrose/water
J7070,D5w infusion
J7100,Dextran 40 infusion
J7110,Dextran 75 infusion
J7120,Ringers lactate infusion
J7131,Hypertonic saline solution
J7178,Human fibrinogen conc inj
J7199,Hemophilia clot factor NOC
J7300,Intraut copper contraceptive
J7303,Contraceptive vaginal ring
J7304,Contraceptive hormone patch
J7306,Levonorgestrel implant sys
J7307,Etonogestrel implant system
J7310,Ganciclovir long act implant
J7311,Fluocinolone acetonide implt
J7312,Dexamethasone intra implant
J7315,Ophthalmic mitomycin
J7316,"Inj, ocriplasmin, 0.125 mg"
J7330,Cultured chondrocytes implnt
J7335,Capsaicin 8% patch
J7336,Capsaicin 8% patch
J7500,Azathioprine oral 50mg
J7501,Azathioprine parenteral
J7502,Cyclosporine oral 100 mg
J7504,Lymphocyte immune globulin
J7507,Tacrolimus imm rel oral 1 mg
J7509,Methylprednisolone oral
J7510,Prednisolone oral per 5 mg
J7511,Antithymocyte globuln rabbit
J7513,"Daclizumab, parenteral"
J7515,Cyclosporine oral 25 mg
J7516,Cyclosporin parenteral 250mg
J7517,Mycophenolate mofetil oral
J7518,Mycophenolic acid
J7520,"Sirolimus, oral"
J7525,Tacrolimus injection
J7527,Oral everolimus
J7599,Immunosuppressive drug NOC
J7665,Mannitol for inhaler
J7667,Metaproterenol comp con
J7674,"Methacholine chloride, neb"
J8498,Antiemetic rectal/supp NOS
J8501,Oral aprepitant
J8510,Oral busulfan
J8515,"Cabergoline, oral 0.25mg"
J8520,"Capecitabine, oral, 150 mg"
J8521,"Capecitabine, oral, 500 mg"
J8530,Cyclophosphamide oral 25 mg
J8540,Oral dexamethasone
J8560,Etoposide oral 50 mg
J8562,Oral fludarabine phosphate
J8565,Gefitinib oral
J8597,Antiemetic drug oral NOS
J8600,Melphalan oral 2 mg
J8610,Methotrexate oral 2.5 mg
J8650,Nabilone oral
J8700,Temozolomide
J8705,Topotecan oral
J9000,Doxorubicin HCl injection
J9015,Aldesleukin injection
J9017,Arsenic trioxide injection
J9020,Asparaginase NOS
J9025,Azacitidine injection
J9027,Clofarabine injection
J9035,Bevacizumab injection
J9040,Bleomycin sulfate injection
J9041,Bortezomib injection
J9042,Brentuximab vedotin inj
J9043,Cabazitaxel injection
J9045,Carboplatin injection
J9047,"Injection, carfilzomib, 1 mg"
J9050,Carmustine injection
J9055,Cetuximab injection
J9060,Cisplatin 10 mg injection
J9065,Inj cladribine per 1 mg
J9070,Cyclophosphamide 100 mg inj
J9098,Cytarabine liposome inj
J9100,Cytarabine HCl 100 mg inj
J9120,Dactinomycin injection
J9130,Dacarbazine 100 mg inj
J9150,Daunorubicin injection
J9151,Daunorubicin citrate inj
J9155,Degarelix injection
J9160,Denileukin diftitox inj
J9165,Diethylstilbestrol injection
J9171,Docetaxel injection
J9179,Eribulin mesylate injection
J9181,Etoposide injection
J9185,Fludarabine phosphate inj
J9190,Fluorouracil injection
J9200,Floxuridine injection
J9201,Gemcitabine HCl injection
J9202,Goserelin acetate implant
J9206,Irinotecan injection
J9207,Ixabepilone injection
J9208,Ifosfamide injection
J9209,Mesna injection
J9211,Idarubicin HCl injection
J9212,Interferon alfacon-1 inj
J9213,Interferon alfa-2a inj
J9214,Interferon alfa-2b inj
J9216,Interferon gamma 1-b inj
J9217,Leuprolide acetate suspnsion
J9218,Leuprolide acetate injection
J9219,Leuprolide acetate implant
J9228,Ipilimumab injection
J9230,Mechlorethamine HCl inj
J9245,Inj melphalan hydrochl 50 mg
J9250,Methotrexate sodium inj
J9260,Methotrexate sodium inj
J9261,Nelarabine injection
J9262,"Inj, omacetaxine mep, 0.01mg"
J9263,Oxaliplatin
J9264,Paclitaxel protein bound
J9265,Paclitaxel injection
J9266,Pegaspargase injection
J9267,Paclitaxel injection
J9268,Pentostatin injection
J9270,Plicamycin (mithramycin) inj
J9280,Mitomycin 5 mg inj
J9293,Mitoxantrone hydrochl / 5 mg
J9300,Gemtuzumab ozogamicin inj
J9301,Obinutuzumab injection
J9302,Ofatumumab injection
J9303,Panitumumab injection
J9305,Pemetrexed injection
J9306,"Injection, pertuzumab, 1 mg"
J9307,Pralatrexate injection
J9310,Rituximab injection
J9315,Romidepsin injection
J9320,Streptozocin injection
J9328,Temozolomide injection
J9330,Temsirolimus injection
J9340,Thiotepa injection
J9351,Topotecan injection
J9354,"Inj, ado-trastuzumab emt 1mg"
J9355,Trastuzumab injection
J9357,Valrubicin injection
J9360,Vinblastine sulfate inj
J9370,Vincristine sulfate 1 mg inj
J9371,"Inj, vincristine sul lip 1mg"
J9390,Vinorelbine tartrate inj
J9395,"Injection, fulvestrant"
J9400,"Inj, ziv-aflibercept, 1mg"
J9600,Porfimer sodium injection
J9999,Chemotherapy drug
K0001,Standard wheelchair
K0002,Stnd hemi (low seat) WC
K0003,Lightweight wheelchair
K0004,High strength ltwt WC
K0005,Ultralightweight wheelchair
K0006,Heavy duty wheelchair
K0007,Extra heavy duty wheelchair
K0008,Cstm manual wheelchair/base
K0009,Other manual wheelchair/base
K0010,Stnd wt frame PWC
K0011,Stnd wt PWC w control
K0012,Ltwt portbl PWC
K0013,Custom PWC base
K0014,Other PWC base
K0020,Fixed adjust armrest pair
K0038,Leg strap each
K0040,Adjustable angle footplate
K0041,Large size footplate each
K0053,Elevate footrest articulate
K0056,Seat ht <17 or >=21 ltwt WC
K0065,Spoke protectors
K0073,Caster pin lock each
K0108,WC component-accessory NOS
K0195,Elevating WC leg rests
K0462,Temporary replacement eqpmnt
K0601,Repl batt silver oxide 1.5 v
K0602,Repl batt silver oxide 3 v
K0603,Repl batt alkaline 1.5 v
K0604,Repl batt lithium 3.6 v
K0605,Repl batt lithium 4.5 v
K0606,AED garment w elec analysis
K0607,Repl batt for AED
K0608,Repl garment for AED
K0609,Repl electrode for AED
K0672,Remove soft interface repl
K0730,Ctrl dose inh drug deliv sys
K0738,Portable gas oxygen system
K0739,Repair/svc DME non-oxygen eq
K0740,Repair/svc oxygen equipment
K0743,Portable home suction pump
K0744,Absorp drg <= 16 suc pump
K0745,Absorp drg>16<=48 suc pump
K0746,Absorp drg>48 suc pump
K0812,Power operated vehicle NOC
K0813,PWC gp 1 std port seat/back
K0814,PWC gp 1 std port cap chair
K0815,PWC gp 1 std seat/back
K0816,PWC gp 1 std cap chair
K0820,PWC gp 2 std port seat/back
K0821,PWC gp 2 std port cap chair
K0822,PWC gp 2 std seat/back
K0823,PWC gp 2 std cap chair
K0824,PWC gp 2 HD seat/back
K0825,PWC gp 2 HD cap chair
K0826,PWC gp 2 VHD seat/back
K0827,PWC gp 2 VHD cap chair
K0828,PWC gp 2 xtra HD seat/back
K0829,PWC gp 2 xtra HD cap chair
K0830,PWC gp2 std seat elevate s/b
K0831,PWC gp2 std seat elevate cap
K0835,PWC gp2 std sing pow opt s/b
K0836,PWC gp2 std sing pow opt cap
K0837,PWC gp 2 HD sing pow opt s/b
K0838,PWC gp 2 HD sing pow opt cap
K0839,PWC gp2 VHD sing pow opt s/b
K0840,PWC gp2 XHD sing pow opt s/b
K0841,PWC gp2 std mult pow opt s/b
K0842,PWC gp2 std mult pow opt cap
K0843,PWC gp2 HD mult pow opt s/b
K0848,PWC gp 3 std seat/back
K0849,PWC gp 3 std cap chair
K0850,PWC gp 3 HD seat/back
K0851,PWC gp 3 HD cap chair
K0852,PWC gp 3 VHD seat/back
K0853,PWC gp 3 VHD cap chair
K0854,PWC gp 3 XHD seat/back
K0855,PWC gp 3 XHD cap chair
K0856,PWC gp3 std sing pow opt s/b
K0857,PWC gp3 std sing pow opt cap
K0858,PWC gp3 HD sing pow opt s/b
K0859,PWC gp3 HD sing pow opt cap
K0860,PWC gp3 VHD sing pow opt s/b
K0861,PWC gp3 std mult pow opt s/b
K0862,PWC gp3 HD mult pow opt s/b
K0863,PWC gp3 VHD mult pow opt s/b
K0864,PWC gp3 XHD mult pow opt s/b
K0868,PWC gp 4 std seat/back
K0869,PWC gp 4 std cap chair
K0870,PWC gp 4 HD seat/back
K0871,PWC gp 4 VHD seat/back
K0877,PWC gp4 std sing pow opt s/b
K0878,PWC gp4 std sing pow opt cap
K0879,PWC gp4 HD sing pow opt s/b
K0880,PWC gp4 VHD sing pow opt s/b
K0884,PWC gp4 std mult pow opt s/b
K0885,PWC gp4 std mult pow opt cap
K0886,PWC gp4 HD mult pow s/b
K0890,PWC gp5 ped sing pow opt s/b
K0891,PWC gp5 ped mult pow opt s/b
K0898,Power wheelchair NOC
K0900,Cstm DME other than wheelchr
K0901,KO single upright pre OTS
K0902,KO double upright pre OTS
L0112,Cranial cervical orthotic
L0113,Cranial cervical torticollis
L0120,Cerv flex n/adj foam pre ots
L0130,Flex thermoplastic collar mo
L0140,Cervical semi-rigid adjustab
L0150,Cerv semi-rig adj molded chn
L0160,Cerv sr wire occ/man pre ots
L0170,Cervical collar molded to pt
L0172,Cerv col sr foam 2pc pre ots
L0174,Cerv sr 2pc thor ext pre ots
L0180,Cer post col occ/man sup adj
L0200,Cerv col supp adj bar & thor
L0220,Thor rib belt custom fabrica
L0450,TLSO flex trunk/thor pre ots
L0452,TLSO flex custom fab thoraci
L0454,TLSO trnk sj-T9 pre cst
L0456,TLSO trnk sj-ss pre cst
L0458,TLSO 2Mod symphis-xipho pre
L0460,TLSO 2 shl symphys-stern cst
L0462,TLSO 3Mod sacro-scap pre
L0464,TLSO 4Mod sacro-scap pre
L0466,TLSO r fram soft ant pre cst
L0468,TLSO rig fram pelvic pre cst
L0470,TLSO rigid frame pre subclav
L0472,TLSO rigid frame hyperex pre
L0480,TLSO rigid plastic custom fa
L0482,TLSO rigid lined custom fab
L0484,TLSO rigid plastic cust fab
L0486,TLSO rigidlined cust fab two
L0488,TLSO rigid lined pre 1 pie
L0490,TLSO rigid plastic pre one
L0491,TLSO 2 piece rigid shell
L0492,TLSO 3 piece rigid shell
L0621,SIO flex pelvic/sacr pre ots
L0622,SIO flex pelvisacral custom
L0623,SIO rig pnl pelv/sac pre ots
L0624,SIO panel custom
L0625,LO flex L1-below L5 pre ots
L0626,LO sag rig pnl stays pre cst
L0627,LO sag ri an/pos pnl pre cst
L0628,LSO flex no ri stays pre ots
L0629,LSO flex w/rigid stays cust
L0630,LSO r post pnl sj-T9 pre cst
L0631,LSO sag r an/pos pnl pre cst
L0632,LSO sag rigid frame cust
L0633,LSO sc r pos/lat pnl pre cst
L0634,LSO flexion control custom
L0635,LSO sagit rigid panel prefab
L0636,LSO sagittal rigid panel cus
L0637,LSO sc r ant/pos pnl pre cst
L0638,LSO sag-coronal panel custom
L0639,LSO s/c shell/panel prefab
L0640,LSO s/c shell/panel custom
L0651,LSO sag-co shell pnl pre OTS
L0700,CTLSO a-p-l control molded
L0710,CTLSO a-p-l control w/ inter
L0810,Halo cervical into jckt vest
L0820,Halo cervical into body jack
L0830,Halo cerv into Milwaukee typ
L0859,MRI compatible system
L0861,Halo repl liner/interface
L0970,TLSO corset front
L0972,LSO corset front
L0974,TLSO full corset
L0976,LSO full corset
L0978,Axillary crutch extension
L0980,Peroneal straps pair pre ots
L0984,Protect body sock ea pre ots
L0999,Add to spinal orthotic NOS
L1000,CTLSO Milwaukee initial modl
L1001,CTLSO infant immobilizer
L1005,Tension based scoliosis orth
L1010,CTLSO axilla sling
L1020,Kyphosis pad
L1025,Kyphosis pad floating
L1030,Lumbar bolster pad
L1040,Lumbar or lumbar rib pad
L1050,Sternal pad
L1060,Thoracic pad
L1070,Trapezius sling
L1080,Outrigger
L1085,Outrigger bil w/ vert extens
L1090,Lumbar sling
L1100,Ring flange plastic/leather
L1110,Ring flange plas/leather mol
L1120,Covers for upright each
L1200,Furnsh initial orthotic only
L1300,Body jacket mold to patient
L1499,Spinal orthotic NOS
L1600,HO flex Frejka w/cvr pre cst
L1610,HO Frejka cov only pre cst
L1620,HO flex Pavlik harns pre cst
L1630,Abduct control hip semi-flex
L1640,Pelv band/sprd bar thgh cuff
L1650,HO abduction hip adjustable
L1652,HO bi thighcuffs w sprdr bar
L1660,HO abduction static plastic
L1680,Pelvic & hip ctrl thigh cuff
L1685,Post-op hip abduct cst fabrc
L1686,HO post-op hip abduction
L1690,Combination bilateral HO
L1700,Legg Perthes ort Toronto typ
L1710,Legg Perthes orth Newington
L1720,Legg Perthes orthotic trilat
L1730,Legg Perthes Scottish Rite
L1755,Legg Perthes Patten bttm typ
L1810,KO elastic with joints
L1812,KO elastic w/joints pre ots
L1820,KO eas w/ cndylr pads & jnts
L1830,KO immob canvas long pre ots
L1831,Knee orth pos locking joint
L1832,KO adj jnt pos r sup pre cst
L1833,KO adj jnt pos r sup pre ots
L1834,KO w/o joint rigid cust fab
L1836,KO rigid w/o joints pre ots
L1840,KO derot ant cruciate custom
L1843,KO single upright pre cst
L1844,KO w/adj jt rot cntrl molded
L1845,KO double upright pre cst
L1846,KO w adj flex/ext rotat mold
L1847,KO dbl upright w/air pre cst
L1848,KO dbl upright w/air pre ot
L1850,KO Swedish type pre ots
L1860,KO supracondylar socket mold
L1900,AFO sprng wir drsflx clf bnd
L1906,AFO multilig ank sup pre ots
L1907,AFO supramalleolar custom
L1910,AFO sing bar clsp attch shoe
L1920,AFO sing upright w/ adjust
L1930,AFO plastic
L1940,AFO molded to patient plastc
L1945,AFO molded plas rig ant tib
L1950,AFO spiral molded to pt plas
L1951,AFO spiral prefabricated
L1960,AFO pos solid ank plastic mo
L1970,AFO plastic molded w/ankle
L1971,"AFO w/ankle joint, prefab"
L1980,AFO sing solid stirrup calf
L1990,AFO doub solid stirrup calf
L2000,KAFO sing fre stirr thi/calf
L2010,KAFO sng solid strrp w/o jnt
L2020,KAFO dbl solid stirrup band
L2030,KAFO dbl solid strrp w/o jnt
L2034,KAFO pla sin up w/wo k/a cus
L2035,KAFO plastic pediatric size
L2036,KAFO plas doub free knee cst
L2037,KAFO plas sing free knee cst
L2038,KAFO w or wo free mtn knee
L2040,HKAFO torsion bil rot straps
L2050,HKAFO torsion cable hip pelv
L2060,HKAFO trsn ball bearing jnt
L2070,HKAFO trsn unilat rot strps
L2080,HKAFO unilat torsion cable
L2090,HKAFO unilat torsion ball br
L2106,AFO tib fx cast thrmplst typ
L2108,AFO tib fx cast cust fabrctd
L2112,AFO tibial fracture soft
L2114,AFO tib fx semi-rigid
L2116,AFO tibial fracture rigid
L2126,KAFO fem fx cast thermoplas
L2128,KAFO fem fx cast cust fbrctd
L2132,KAFO femoral fx cast soft
L2134,KAFO fem fx cast semi-rigid
L2136,KAFO femoral fx cast rigid
L2180,Plas shoe insert w ank joint
L2182,Drop lock knee
L2184,Limited motion knee joint
L2186,Adj mtn knee jnt Lerman type
L2188,Quadrilateral brim
L2190,Waist belt
L2192,Pelvic band & belt thigh fla
L2200,Limited ankle motion ea jnt
L2210,Dorsiflexion assist each jnt
L2220,Dorsi & plantar flex ass/res
L2230,Split flat caliper stirr&plt
L2232,"Rocker bottom, contact AFO"
L2240,Round caliper & plate attch
L2250,Foot plate mldd stirrup atch
L2265,Long tongue stirrup
L2275,Plastic mod low ext pad/line
L2280,Molded inner boot
L2300,Abduction bar jointed adjust
L2310,Abduction bar-straight
L2320,Nonmolded lacer
L2330,Lacer molded to pt model
L2335,Anterior swing band
L2340,"Pre-tibial shell, molded"
L2360,Extended steel shank
L2370,Patten bottom
L2375,Torsion ank & hlf sld stirrp
L2380,Torsion straight knee joint
L2385,HD straight knee joint
L2387,Add LE poly knee custom KAFO
L2390,Offset knee joint each
L2395,Offset knee joint heavy duty
L2397,Suspension sleeve lower ext
L2405,Knee joint drop lock ea jnt
L2415,Knee joint cam lock each jnt
L2425,Knee disc/dial lock/adj flex
L2430,Knee jnt ratchet lock ea jnt
L2492,Knee lift loop drop lock rng
L2540,Thigh/wght bear lacer molded
L2550,Thigh/wght bear hi roll cuff
L2580,Pelvic control pelvic sling
L2620,Pelvic control HD hip jnt
L2622,Hip joint adjustable flexion
L2624,Hip adj flex ext abduct ctrl
L2627,Plastic mold recipro hip&cbl
L2628,Metal frame recipro hip&cbls
L2630,Pelvic control band & belt
L2640,Pelvic control band & belt
L2650,Pelv & thor control gluteal
L2660,Thoracic ctrl thoracic band
L2670,Thorac cnt prspnl uprights
L2680,Thorac cnt lat sprt uprights
L2750,Plating chrome/nickel pr bar
L2755,Carbon graphite lamination
L2760,Extension per extension per
L2768,Ortho sidebar disconnect
L2780,Noncorrosive finish
L2785,Drop lock retainer each
L2795,Knee control full kneecap
L2800,Knee cap medial or lateral
L2810,Knee control condylar pad
L2820,Soft interface BK section
L2830,Soft interface AK section
L2840,Tibial length sock fx or eq
L2850,Femoral lgth sock fx or eq
L2861,Torsion mechanism knee/ankle
L2999,Lower extremity orthotic NOS
L3003,Foot insert silicone gel eac
L3010,Foot longitudinal arch suppo
L3020,Foot longitud/metatarsal sup
L3030,Foot arch support remov prem
L3031,Foot lamin/prepreg composite
L3040,Ft arch suprt premold longit
L3050,Foot arch supp premold metat
L3060,Foot arch supp longitud/meta
L3070,Arch suprt att to sho longit
L3080,Arch supp att to shoe metata
L3090,Arch supp att to shoe long
L3100,Hallus-valgus nt dyn pre ots
L3140,Abduction rotation bar shoe
L3150,Abduct rotation bar w/o shoe
L3160,Shoe styled positioning dev
L3201,Oxford w supinat/pronat inf
L3202,Oxford w/ supinat/pronator
L3203,Oxford w/ supinator/pronator
L3204,Hightop w/ supp/pronator inf
L3206,Hightop w/ supp/pronator chi
L3207,Hightop w/ supp/pronator jun
L3208,Surgical boot each infant
